year,state,code,source,generation,price,revenue
2010,Colorado,CO,Other Biomass,57979.0,0.076,4.406404
2010,Colorado,CO,Petroleum,17482.0,0.03255972696245733,0.5692091467576791
2010,Colorado,CO,Solar Thermal and Photovoltaic,42498.0,0.7210000000000001,30.641058000000005
2010,Colorado,CO,Wind,3451851.0,0.251,866.414601
2010,Connecticut,CT,Coal,2604399.0,0.007745561511752081,20.172532655645604
2010,Connecticut,CT,Hydroelectric Conventional,390667.0,0.038,14.845346
2010,Connecticut,CT,Natural Gas,11715672.0,0.017372013651877134,203.5248139249147
2010,Connecticut,CT,Other Biomass,739246.0,0.076,56.182696
2010,Connecticut,CT,Petroleum,408932.0,0.03255972696245733,13.314714266211602
2010,District of Columbia,DC,Petroleum,199858.0,0.03255972696245733,6.507321911262798
2010,Delaware,DE,Coal,2568370.0,0.007745561511752081,19.89346781993869
2010,Delaware,DE,Natural Gas,2864983.0,0.017372013651877134,49.770523788395906
2010,Delaware,DE,Other Biomass,135641.0,0.076,10.308716
2010,Delaware,DE,Petroleum,56095.0,0.03255972696245733,1.826437883959044
2010,Delaware,DE,Wind,2556.0,0.251,0.641556
2010,Florida,FL,Coal,59897433.0,0.007745561511752081,463.93925169754897
2010,Florida,FL,Hydroelectric Conventional,177474.0,0.038,6.744012
2010,Florida,FL,Natural Gas,128634251.0,0.017372013651877134,2234.6359644709896
2010,Florida,FL,Other Biomass,2387416.0,0.076,181.443616
2010,Florida,FL,Petroleum,9122497.0,0.03255972696245733,297.0260115358362
2010,Florida,FL,Solar Thermal and Photovoltaic,80440.0,0.7210000000000001,57.997240000000005
2010,Georgia,GA,Coal,73298042.0,0.007745561511752081,567.7344930019874
2010,Georgia,GA,Hydroelectric Conventional,3321702.0,0.038,126.224676
2010,Georgia,GA,Natural Gas,23884457.0,0.017372013651877134,414.9211130716724
2010,Georgia,GA,Other Biomass,127001.0,0.076,9.652076
2010,Georgia,GA,Petroleum,640563.0,0.03255972696245733,20.856556382252556
2010,Hawaii,HI,Coal,1545513.0,0.007745561511752081,11.970866008712493
2010,Hawaii,HI,Geothermal,200595.0,0.049,9.829155
2010,Hawaii,HI,Hydroelectric Conventional,70423.0,0.038,2.676074
2010,Hawaii,HI,Other Biomass,283474.0,0.076,21.544024
2010,Hawaii,HI,Petroleum,8087337.0,0.03255972696245733,263.3214845733788
2010,Hawaii,HI,Solar Thermal and Photovoltaic,1770.0,0.7210000000000001,1.2761700000000002
2010,Hawaii,HI,Wind,261120.0,0.251,65.54112
2010,Iowa,IA,Coal,41282937.0,0.007745561511752081,319.7595279192859
2010,Iowa,IA,Hydroelectric Conventional,948168.0,0.038,36.030384
2010,Iowa,IA,Natural Gas,1312195.0,0.017372013651877134,22.795469453924916
2010,Iowa,IA,Other Biomass,190146.0,0.076,14.451096
2010,Iowa,IA,Petroleum,154297.0,0.03255972696245733,5.0238681911262795
2010,Iowa,IA,Wind,9170337.0,0.251,2301.754587
2010,Idaho,ID,Coal,88278.0,0.007745561511752081,0.6837626791344501
2010,Idaho,ID,Geothermal,71841.0,0.049,3.520209
2010,Idaho,ID,Hydroelectric Conventional,9154244.0,0.038,347.861272
2010,Idaho,ID,Natural Gas,1689232.0,0.017372013651877134,29.345361365187717
2010,Idaho,ID,Other Biomass,23582.0,0.076,1.792232
2010,Idaho,ID,Petroleum,74.0,0.03255972696245733,0.0024094197952218427
2010,Idaho,ID,Wind,440746.0,0.251,110.627246
2010,Illinois,IL,Coal,93611365.0,0.007745561511752081,725.0725858065758
2010,Illinois,IL,Hydroelectric Conventional,118543.0,0.038,4.504634
2010,Illinois,IL,Natural Gas,5723733.0,0.017372013651877134,99.43276781569966
2010,Illinois,IL,Other Biomass,670260.0,0.076,50.93976
2010,Illinois,IL,Petroleum,109744.0,0.03255972696245733,3.573234675767918
2010,Illinois,IL,Solar Thermal and Photovoltaic,14145.0,0.7210000000000001,10.198545000000001
2010,Illinois,IL,Wind,4453634.0,0.251,1117.862134
2010,Indiana,IN,Coal,112327658.0,0.007745561511752081,870.0407845100507
2010,Indiana,IN,Hydroelectric Conventional,453712.0,0.038,17.241056
2010,Indiana,IN,Natural Gas,6474986.0,0.017372013651877134,112.48354518771332
2010,Indiana,IN,Other Biomass,311623.0,0.076,23.683348
2010,Indiana,IN,Petroleum,154555.0,0.03255972696245733,5.032268600682593
2010,Indiana,IN,Wind,2934043.0,0.251,736.444793
2010,Kansas,KS,Coal,32505053.0,0.007745561511752081,251.76988745426152
2010,Kansas,KS,Hydroelectric Conventional,13214.0,0.038,0.502132
2010,Kansas,KS,Natural Gas,2287323.0,0.017372013651877134,39.735406382252556
2010,Kansas,KS,Other Biomass,54286.0,0.076,4.125736
2010,Kansas,KS,Petroleum,103110.0,0.03255972696245733,3.3572334470989755
2010,Kansas,KS,Wind,3405065.0,0.251,854.671315
2010,Kentucky,KY,Coal,91053858.0,0.007745561511752081,705.2632580213393
2010,Kentucky,KY,Hydroelectric Conventional,2580246.0,0.038,98.049348
2010,Kentucky,KY,Natural Gas,1840708.0,0.017372013651877134,31.976804505119457
2010,Kentucky,KY,Other Biomass,90803.0,0.076,6.901028
2010,Kentucky,KY,Petroleum,2284852.0,0.03255972696245733,74.39415726962456
2010,Louisiana,LA,Coal,23923749.0,0.007745561511752081,185.30286947121732
2010,Louisiana,LA,Hydroelectric Conventional,1108794.0,0.038,42.134172
2010,Louisiana,LA,Natural Gas,51344079.0,0.017372013651877134,891.9500413310581
2010,Louisiana,LA,Other Biomass,74367.0,0.076,5.651892
2010,Louisiana,LA,Petroleum,3280844.0,0.03255972696245733,106.82338484641637
2010,Massachusetts,MA,Coal,8305890.0,0.007745561511752081,64.33378190484649
2010,Massachusetts,MA,Hydroelectric Conventional,996339.0,0.038,37.860882
2010,Massachusetts,MA,Natural Gas,25581752.0,0.017372013651877134,444.4065449829352
2010,Massachusetts,MA,Other Biomass,1125326.0,0.076,85.524776
2010,Massachusetts,MA,Petroleum,295736.0,0.03255972696245733,9.629083412969281
2010,Massachusetts,MA,Solar Thermal and Photovoltaic,928.0,0.7210000000000001,0.6690880000000001
2010,Massachusetts,MA,Wind,22068.0,0.251,5.539068
2010,Maryland,MD,Coal,23668205.0,0.007745561511752081,183.32353770025816
2010,Maryland,MD,Hydroelectric Conventional,1667396.0,0.038,63.361048
2010,Maryland,MD,Natural Gas,2896979.0,0.017372013651877134,50.32635873720137
2010,Maryland,MD,Other Biomass,407403.0,0.076,30.962628
2010,Maryland,MD,Petroleum,322438.0,0.03255972696245733,10.498493242320817
2010,Maryland,MD,Solar Thermal and Photovoltaic,80.0,0.7210000000000001,0.05768000000000001
2010,Maryland,MD,Wind,1494.0,0.251,0.374994
2010,Maine,ME,Coal,87193.0,0.007745561511752081,0.6753587448941992
2010,Maine,ME,Hydroelectric Conventional,3810381.0,0.038,144.794478
2010,Maine,ME,Natural Gas,8373606.0,0.017372013651877134,145.46639774744028
2010,Maine,ME,Other Biomass,263508.0,0.076,20.026608
2010,Maine,ME,Petroleum,272300.0,0.03255972696245733,8.86601365187713
2010,Maine,ME,Wind,499198.0,0.251,125.298698
2010,Michigan,MI,Coal,65604374.0,0.007745561511752081,508.1427142569889
2010,Michigan,MI,Hydroelectric Conventional,1250553.0,0.038,47.521014
2010,Michigan,MI,Natural Gas,12249262.0,0.017372013651877134,212.7943466894198
2010,Michigan,MI,Other Biomass,802376.0,0.076,60.980576
2010,Michigan,MI,Petroleum,382028.0,0.03255972696245733,12.43872737201365
2010,Michigan,MI,Wind,360340.0,0.251,90.44534
2010,Minnesota,MN,Coal,28082550.0,0.007745561511752081,217.51511843185338
2010,Minnesota,MN,Hydroelectric Conventional,840410.0,0.038,31.93558
2010,Minnesota,MN,Natural Gas,4340847.0,0.017372013651877134,75.40925334470991
2010,Minnesota,MN,Other Biomass,915352.0,0.076,69.566752
2010,Minnesota,MN,Petroleum,31056.0,0.03255972696245733,1.011174880546075
2010,Minnesota,MN,Wind,4791723.0,0.251,1202.722473
2010,Missouri,MO,Coal,75047229.0,0.007745561511752081,581.2829285060446
2010,Missouri,MO,Hydroelectric Conventional,1539347.0,0.038,58.495186
2010,Missouri,MO,Natural Gas,4689867.0,0.017372013651877134,81.47243354948806
2010,Missouri,MO,Other Biomass,61988.0,0.076,4.711088
2010,Missouri,MO,Petroleum,125894.0,0.03255972696245733,4.099074266211603
2010,Missouri,MO,Wind,925490.0,0.251,232.29799
2010,Mississippi,MS,Coal,13628997.0,0.007745561511752081,105.56423460698457
2010,Mississippi,MS,Natural Gas,29618922.0,0.017372013651877134,514.5403173378841
2010,Mississippi,MS,Other Biomass,991.0,0.076,0.075316
2010,Mississippi,MS,Petroleum,81500.0,0.03255972696245733,2.6536177474402725
2010,Montana,MT,Coal,18600634.0,0.007745561511752081,144.07235480458715
2010,Montana,MT,Hydroelectric Conventional,9414662.0,0.038,357.757156
2010,Montana,MT,Natural Gas,57112.0,0.017372013651877134,0.9921504436860069
2010,Montana,MT,Petroleum,408501.0,0.03255972696245733,13.300681023890782
2010,Montana,MT,Wind,930233.0,0.251,233.488483
2010,North Carolina,NC,Coal,71951214.0,0.007745561511752081,557.3025538822375
2010,North Carolina,NC,Hydroelectric Conventional,4756549.0,0.038,180.748862
2010,North Carolina,NC,Natural Gas,8447237.0,0.017372013651877134,146.74551648464166
2010,North Carolina,NC,Other Biomass,195310.0,0.076,14.84356
2010,North Carolina,NC,Petroleum,293373.0,0.03255972696245733,9.552144778156995
2010,North Carolina,NC,Solar Thermal and Photovoltaic,11340.0,0.7210000000000001,8.17614
2010,North Dakota,ND,Coal,28462040.0,0.007745561511752081,220.4544815699482
2010,North Dakota,ND,Hydroelectric Conventional,2042118.0,0.038,77.600484
2010,North Dakota,ND,Natural Gas,16353.0,0.017372013651877134,0.2840845392491468
2010,North Dakota,ND,Other Biomass,12387.0,0.076,0.941412
2010,North Dakota,ND,Petroleum,38220.0,0.03255972696245733,1.2444327645051192
2010,North Dakota,ND,Wind,4095641.0,0.251,1028.005891
2010,Nebraska,NE,Coal,23362776.0,0.007745561511752081,180.95781859328523
2010,Nebraska,NE,Hydroelectric Conventional,1313856.0,0.038,49.926528
2010,Nebraska,NE,Natural Gas,375035.0,0.017372013651877134,6.515113139931741
2010,Nebraska,NE,Other Biomass,71508.0,0.076,5.434608
2010,Nebraska,NE,Petroleum,30849.0,0.03255972696245733,1.0044350170648462
2010,Nebraska,NE,Wind,421645.0,0.251,105.832895
2010,New Hampshire,NH,Coal,3082643.0,0.007745561511752081,23.87680097527197
2010,New Hampshire,NH,Hydroelectric Conventional,1477583.0,0.038,56.148154
2010,New Hampshire,NH,Natural Gas,5364836.0,0.017372013651877134,93.19800423208191
2010,New Hampshire,NH,Other Biomass,126772.0,0.076,9.634672
2010,New Hampshire,NH,Petroleum,71681.0,0.03255972696245733,2.333913788395904
2010,New Hampshire,NH,Wind,75688.0,0.251,18.997688
2010,New Jersey,NJ,Coal,6417891.0,0.007745561511752081,49.71016951622007
2010,New Jersey,NJ,Hydroelectric Conventional,18119.0,0.038,0.688522
2010,New Jersey,NJ,Natural Gas,24902230.0,0.017372013651877134,432.60187952218433
2010,New Jersey,NJ,Other Biomass,816317.0,0.076,62.040092
2010,New Jersey,NJ,Petroleum,235004.0,0.03255972696245733,7.651666075085323
2010,New Jersey,NJ,Solar Thermal and Photovoltaic,21084.0,0.7210000000000001,15.201564000000001
2010,New Jersey,NJ,Wind,12653.0,0.251,3.175903
2010,New Mexico,NM,Coal,25617789.0,0.007745561511752081,198.4241604945858
2010,New Mexico,NM,Hydroelectric Conventional,217010.0,0.038,8.24638
2010,New Mexico,NM,Natural Gas,8512083.0,0.017372013651877134,147.87202208191127
2010,New Mexico,NM,Other Biomass,13680.0,0.076,1.03968
2010,New Mexico,NM,Petroleum,49869.0,0.03255972696245733,1.6237210238907847
2010,New Mexico,NM,Solar Thermal and Photovoltaic,8930.0,0.7210000000000001,6.438530000000001
2010,New Mexico,NM,Wind,1832182.0,0.251,459.877682
2010,Nevada,NV,Coal,6997302.0,0.007745561511752081,54.19803305730586
2010,Nevada,NV,Geothermal,2069730.0,0.049,101.41677
2010,Nevada,NV,Hydroelectric Conventional,2157296.0,0.038,81.977248
2010,Nevada,NV,Natural Gas,23688192.0,0.017372013651877134,411.5115948122867
2010,Nevada,NV,Petroleum,11158.0,0.03255972696245733,0.3633014334470989
2010,Nevada,NV,Solar Thermal and Photovoltaic,216917.0,0.7210000000000001,156.39715700000002
2010,New York,NY,Coal,13582766.0,0.007745561511752081,105.20614955273476
2010,New York,NY,Hydroelectric Conventional,25471697.0,0.038,967.924486
2010,New York,NY,Natural Gas,48915545.0,0.017372013651877134,849.7615155290102
2010,New York,NY,Other Biomass,1671090.0,0.076,127.00284
2010,New York,NY,Petroleum,2004975.0,0.03255972696245733,65.2814385665529
2010,New York,NY,Wind,2596154.0,0.251,651.634654
2010,Ohio,OH,Coal,117828009.0,0.007745561511752081,912.6440915167777
2010,Ohio,OH,Hydroelectric Conventional,429024.0,0.038,16.302912
2010,Ohio,OH,Natural Gas,7127859.0,0.017372013651877134,123.8252638566553
2010,Ohio,OH,Other Biomass,275855.0,0.076,20.96498
2010,Ohio,OH,Petroleum,1442424.0,0.03255972696245733,46.964931604095554
2010,Ohio,OH,Solar Thermal and Photovoltaic,12848.0,0.7210000000000001,9.263408000000002
2010,Ohio,OH,Wind,12576.0,0.251,3.156576
2010,Oklahoma,OK,Coal,31475137.0,0.007745561511752081,243.79260972432385
2010,Oklahoma,OK,Hydroelectric Conventional,2808788.0,0.038,106.733944
2010,Oklahoma,OK,Natural Gas,33941682.0,0.017372013651877134,589.6353630716725
2010,Oklahoma,OK,Other Biomass,97043.0,0.076,7.375268
2010,Oklahoma,OK,Petroleum,18089.0,0.03255972696245733,0.5889729010238907
2010,Oklahoma,OK,Wind,3808083.0,0.251,955.828833
2010,Oregon,OR,Coal,4126435.0,0.007745561511752081,31.9615561167467
2010,Oregon,OR,Hydroelectric Conventional,30542260.0,0.038,1160.60588
2010,Oregon,OR,Natural Gas,15651176.0,0.017372013651877134,271.89244313993174
2010,Oregon,OR,Other Biomass,204932.0,0.076,15.574832
2010,Oregon,OR,Petroleum,3420.0,0.03255972696245733,0.11135426621160407
2010,Oregon,OR,Wind,3920007.0,0.251,983.921757
2010,Pennsylvania,PA,Coal,110369292.0,0.007745561511752081,854.8721401945268
2010,Pennsylvania,PA,Hydroelectric Conventional,2332201.0,0.038,88.623638
2010,Pennsylvania,PA,Natural Gas,33717608.0,0.017372013651877134,585.7427464846417
2010,Pennsylvania,PA,Other Biomass,1708356.0,0.076,129.835056
2010,Pennsylvania,PA,Petroleum,571345.0,0.03255972696245733,18.602837201365183
2010,Pennsylvania,PA,Solar Thermal and Photovoltaic,7910.0,0.7210000000000001,5.703110000000001
2010,Pennsylvania,PA,Wind,1854032.0,0.251,465.362032
2010,Rhode Island,RI,Hydroelectric Conventional,3706.0,0.038,0.140828
2010,Rhode Island,RI,Natural Gas,7583281.0,0.017372013651877134,131.73686105802048
2010,Rhode Island,RI,Other Biomass,136949.0,0.076,10.408124
2010,Rhode Island,RI,Petroleum,11659.0,0.03255972696245733,0.37961385665529007
2010,Rhode Island,RI,Wind,3124.0,0.251,0.784124
2010,South Carolina,SC,Coal,37671118.0,0.007745561511752081,291.783961685471
2010,South Carolina,SC,Hydroelectric Conventional,2376444.0,0.038,90.304872
2010,South Carolina,SC,Natural Gas,10927237.0,0.017372013651877134,189.82811034129693
2010,South Carolina,SC,Other Biomass,130997.0,0.076,9.955772
2010,South Carolina,SC,Petroleum,190727.0,0.03255972696245733,6.210019044368599
2010,South Dakota,SD,Coal,3298256.0,0.007745561511752081,25.54684472950537
2010,South Dakota,SD,Hydroelectric Conventional,5238801.0,0.038,199.074438
2010,South Dakota,SD,Natural Gas,134706.0,0.017372013651877134,2.340114470989761
2010,South Dakota,SD,Other Biomass,0.0,0.076,0.0
2010,South Dakota,SD,Petroleum,6124.0,0.03255972696245733,0.19939576791808872
2010,South Dakota,SD,Wind,1371750.0,0.251,344.30925
2010,Tennessee,TN,Coal,43670196.0,0.007745561511752081,338.25018934826966
2010,Tennessee,TN,Hydroelectric Conventional,8137795.0,0.038,309.23621
2010,Tennessee,TN,Natural Gas,2302384.0,0.017372013651877134,39.99704627986348
2010,Tennessee,TN,Other Biomass,33123.0,0.076,2.517348
2010,Tennessee,TN,Petroleum,216903.0,0.03255972696245733,7.062302457337883
2010,Tennessee,TN,Wind,40570.0,0.251,10.18307
2010,Texas,TX,Coal,150172832.0,0.007745561511752081,1163.1729076500112
2010,Texas,TX,Hydroelectric Conventional,1261832.0,0.038,47.949616
2010,Texas,TX,Natural Gas,186882238.0,0.017372013651877134,3246.520789829352
2010,Texas,TX,Other Biomass,545136.0,0.076,41.430336
2010,Texas,TX,Petroleum,708481.0,0.03255972696245733,23.067947918088734
2010,Texas,TX,Solar Thermal and Photovoltaic,8208.0,0.7210000000000001,5.917968000000001
2010,Texas,TX,Wind,26251410.0,0.251,6589.10391
2010,Utah,UT,Coal,34057265.0,0.007745561511752081,263.7926409795412
2010,Utah,UT,Geothermal,276949.0,0.049,13.570501
2010,Utah,UT,Hydroelectric Conventional,695512.0,0.038,26.429456
2010,Utah,UT,Natural Gas,6455396.0,0.017372013651877134,112.14322744027305
2010,Utah,UT,Other Biomass,56338.0,0.076,4.281688
2010,Utah,UT,Petroleum,50357.0,0.03255972696245733,1.639610170648464
2010,Utah,UT,Wind,447680.0,0.251,112.36768
2010,Virginia,VA,Coal,25459221.0,0.007745561511752081,197.19596229679033
2010,Virginia,VA,Hydroelectric Conventional,1500182.0,0.038,57.006916
2010,Virginia,VA,Natural Gas,16999125.0,0.017372013651877134,295.3090315699659
2010,Virginia,VA,Other Biomass,815345.0,0.076,61.96622
2010,Virginia,VA,Petroleum,1292861.0,0.03255972696245733,42.095201160409545
2010,Vermont,VT,Hydroelectric Conventional,1346887.0,0.038,51.181706
2010,Vermont,VT,Natural Gas,3783.0,0.017372013651877134,0.0657183276450512
2010,Vermont,VT,Other Biomass,25081.0,0.076,1.906156
2010,Vermont,VT,Petroleum,4509.0,0.03255972696245733,0.1468118088737201
2010,Vermont,VT,Wind,13892.0,0.251,3.486892
2010,Washington,WA,Coal,8526933.0,0.007745561511752081,66.0458840580887
2010,Washington,WA,Hydroelectric Conventional,68288383.0,0.038,2594.958554
2010,Washington,WA,Natural Gas,10359235.0,0.017372013651877134,179.9607718430034
2010,Washington,WA,Other Biomass,196370.0,0.076,14.92412
2010,Washington,WA,Petroleum,32476.0,0.03255972696245733,1.0574096928327643
2010,Washington,WA,Solar Thermal and Photovoltaic,0.0,0.7210000000000001,0.0
2010,Washington,WA,Wind,4744679.0,0.251,1190.914429
2010,Wisconsin,WI,Coal,40168733.0,0.007745561511752081,311.1293923006457
2010,Wisconsin,WI,Hydroelectric Conventional,2111852.0,0.038,80.250376
2010,Wisconsin,WI,Natural Gas,5496814.0,0.017372013651877134,95.49072784982936
2010,Wisconsin,WI,Other Biomass,507860.0,0.076,38.59736
2010,Wisconsin,WI,Petroleum,718302.0,0.03255972696245733,23.387716996587027
2010,Wisconsin,WI,Wind,1088464.0,0.251,273.204464
2010,West Virginia,WV,Coal,78147563.0,0.007745561511752081,605.2967562100209
2010,West Virginia,WV,Hydroelectric Conventional,1367361.0,0.038,51.959718
2010,West Virginia,WV,Natural Gas,139601.0,0.017372013651877134,2.4251504778157
2010,West Virginia,WV,Other Biomass,0.0,0.076,0.0
2010,West Virginia,WV,Petroleum,154557.0,0.03255972696245733,5.032333720136518
2010,West Virginia,WV,Wind,939172.0,0.251,235.732172
2010,Wyoming,WY,Coal,42986523.0,0.007745561511752081,332.95475807284555
2010,Wyoming,WY,Hydroelectric Conventional,1023887.0,0.038,38.907706
2010,Wyoming,WY,Natural Gas,458983.0,0.017372013651877134,7.973458941979523
2010,Wyoming,WY,Petroleum,56146.0,0.03255972696245733,1.8280984300341294
2010,Wyoming,WY,Wind,3246793.0,0.251,814.945043
2011,Alaska,AK,Coal,656385.27,0.00815501850796805,5.352834025207605
2011,Alaska,AK,Hydroelectric Conventional,1344745.75,0.035,47.06610125000001
2011,Alaska,AK,Natural Gas,3906432.63,0.016109215017064846,62.92956318634812
2011,Alaska,AK,Other Biomass,3286.54,0.056,0.18404624
2011,Alaska,AK,Petroleum,944998.3,0.042593856655290106,40.25112212969284
2011,Alaska,AK,Wind,12446.0,0.254,3.161284
2011,Alabama,AL,Coal,56807353.02,0.00815501850796805,463.26501526677464
2011,Alabama,AL,Hydroelectric Conventional,8883598.0,0.035,310.92593
2011,Alabama,AL,Natural Gas,47681053.94,0.016109215017064846,768.104350159727
2011,Alabama,AL,Other Biomass,9898.3,0.056,0.5543048
2011,Alabama,AL,Petroleum,120384.03,0.042593856655290106,5.127620117406144
2011,Arkansas,AR,Coal,29418195.45,0.00815501850796805,239.90592836577147
2011,Arkansas,AR,Hydroelectric Conventional,2957845.0,0.035,103.52457500000001
2011,Arkansas,AR,Natural Gas,12946681.84,0.016109215017064846,208.56088151808873
2011,Arkansas,AR,Other Biomass,81008.24,0.056,4.53646144
2011,Arkansas,AR,Petroleum,55874.22,0.042593856655290106,2.3798985174061436
2011,Arizona,AZ,Coal,43702296.69,0.00815501850796805,356.3930383476608
2011,Arizona,AZ,Hydroelectric Conventional,9174092.0,0.035,321.0932200000001
2011,Arizona,AZ,Natural Gas,23252699.58,0.016109215017064846,374.5827372614334
2011,Arizona,AZ,Other Biomass,46833.58,0.056,2.62268048
2011,Arizona,AZ,Petroleum,53245.27,0.042593856655290106,2.2679213979522186
2011,Arizona,AZ,Solar Thermal and Photovoltaic,83348.78,0.625,52.0929875
2011,Arizona,AZ,Wind,255579.0,0.254,64.917066
2011,California,CA,Coal,1982182.39,0.00815501850796805,16.16473407661834
2011,California,CA,Geothermal,12552383.0,0.069,866.1144270000001
2011,California,CA,Hydroelectric Conventional,42557466.88,0.035,1489.5113408000002
2011,California,CA,Natural Gas,88973830.73,0.016109215017064846,1433.2985701215016
2011,California,CA,Other Biomass,2584692.84,0.056,144.74279904
2011,California,CA,Petroleum,910571.56,0.042593856655290106,38.7847545010239
2011,California,CA,Solar Thermal and Photovoltaic,888829.4,0.625,555.518375
2011,California,CA,Wind,7751837.0,0.254,1968.966598
2011,Colorado,CO,Coal,33954686.58,0.00815501850796805,276.90109749215435
2011,Colorado,CO,Hydroelectric Conventional,2082621.4,0.035,72.891749
2011,Colorado,CO,Natural Gas,10186303.26,0.016109215017064846,164.0933494443686
2011,Colorado,CO,Other Biomass,61520.07,0.056,3.44512392
2011,Colorado,CO,Petroleum,22218.41,0.042593856655290106,0.9463677706484642
2011,Colorado,CO,Solar Thermal and Photovoltaic,104635.61,0.625,65.39725625
2011,Colorado,CO,Wind,5200321.83,0.254,1320.88174482
2011,Connecticut,CT,Coal,525806.54,0.00815501850796805,4.287962065310643
2011,Connecticut,CT,Hydroelectric Conventional,567442.0,0.035,19.860470000000003
2011,Connecticut,CT,Natural Gas,15188145.26,0.016109215017064846,244.66909770375423
2011,Connecticut,CT,Other Biomass,658872.96,0.056,36.896885759999996
2011,Connecticut,CT,Petroleum,165810.01,0.042593856655290106,7.062487797952219
2011,District of Columbia,DC,Natural Gas,71198.96,0.016109215017064846,1.1469593556313993
2011,District of Columbia,DC,Petroleum,129675.0,0.042593856655290106,5.523358361774744
2011,Delaware,DE,Coal,1454995.88,0.00815501850796805,11.865518330417258
2011,Delaware,DE,Natural Gas,4731368.99,0.016109215017064846,76.21864038498293
2011,Delaware,DE,Other Biomass,144731.67,0.056,8.10497352
2011,Delaware,DE,Petroleum,37739.46,0.042593856655290106,1.6074691494880546
2011,Delaware,DE,Solar Thermal and Photovoltaic,8279.8,0.625,5.174874999999999
2011,Delaware,DE,Wind,4825.0,0.254,1.22555
2011,Florida,FL,Coal,51990960.96,0.00815501850796805,423.9872488758443
2011,Florida,FL,Hydroelectric Conventional,182042.0,0.035,6.371470000000001
2011,Florida,FL,Natural Gas,136363873.69,0.016109215017064846,2196.714961832082
2011,Florida,FL,Other Biomass,2334984.73,0.056,130.75914488
2011,Florida,FL,Petroleum,3280943.92,0.042593856655290106,139.74805502252562
2011,Florida,FL,Solar Thermal and Photovoltaic,125726.0,0.625,78.57875
2011,Georgia,GA,Coal,60159340.27,0.00815501850796805,490.6005333289976
2011,Georgia,GA,Hydroelectric Conventional,2705057.55,0.035,94.67701425000001
2011,Georgia,GA,Natural Gas,26543604.26,0.016109215017064846,427.5966283522184
2011,Georgia,GA,Other Biomass,119262.93,0.056,6.67872408
2011,Georgia,GA,Petroleum,551288.01,0.042593856655290106,23.48148247372014
2011,Hawaii,HI,Coal,1424035.69,0.00815501850796805,11.613037407957053
2011,Hawaii,HI,Geothermal,223888.0,0.069,15.448272000000001
2011,Hawaii,HI,Hydroelectric Conventional,93140.73,0.035,3.25992555
2011,Hawaii,HI,Natural Gas,0.0,0.016109215017064846,0.0
2011,Hawaii,HI,Other Biomass,312626.92,0.056,17.507107519999998
2011,Hawaii,HI,Petroleum,7923925.24,0.042593856655290106,337.5105358197952
2011,Hawaii,HI,Solar Thermal and Photovoltaic,3593.0,0.625,2.245625
